ITEM,BASE,LIN,MAT,FORMA,CORRE,CODIGO,DESCRIPCION DE PRODUCTO,DISP,UND,PRECIO DETAL USD,PRECIO MAYOR USD,SALIDA,ENTRADA,STOCK,NUEVO PRECIO,COSTO,VALOR INVENTARIO,Unnamed: 18,Unnamed: 21
16.1,,,,,,ZUN0140007,"ZUNCHO 12 X 15 X 4,50 mm (Paquete 20 und)",,Paq ,5,,15,15,0,0,4,17176.800000000003,,
16.2,ZUNCHOS,ZUN,1,40,4,ZUN0140004,"ZUNCHO 12 X 15 X 5,20 mm (Paquete 20 und)",21,Paq ,7.5,,146,145,20,0,6,2240,,
16.3,ZUNCHOS,ZUN,1,40,5,ZUN0140005,"ZUNCHO 15 X 15 X 5,20 mm (Paquete 20 und)",40,Paq ,7.9,,83,52,9,0,6.32,1760.0000000000002,,
16.4,,,,,,ZUN0140010,"ZUNCHO 15 X 20 X 5,20 mm (Paquete 20 und)",,Paq ,8.5,,0,34,34,0,6.8000000000000007,10976.400000000001,,
16.5,,,,,,ZUN0140008,ZUNCHO 15 X 15 X 10 mm (Paquete 20 und),,Paq ,,,59,59,0,0,0,211.12,,
16.6,,,,,,ZUN0140009,ZUNCHO 15 X 12 X 10 mm (Paquete 20 und),,Paq ,,,58,58,0,0,0,709.2,,
16.7,,,,,,ZUN0140006,"ZUNCHO 12 X 15 X 7,50 mm (Paquete 20 und)",,Paq ,9,,30,30,0,0,7.2,2026.96,,
16.8,ZUNCHOS,ZUN,1,40,1,ZUN0140001,"ZUNCHO 20 X 20 X 7,5 mm (Paquete de 20 und)",9,Paq ,9.5,,112,103,0,0,7.6000000000000005,699.48000000000013,,
16.9,ZUNCHOS,ZUN,1,40,2,ZUN0140002,ZUNCHO 20 X 20 X 9 mm (Paquete de 20 und),25,Paq ,13,,25,0,0,0,10.4,12240,,
16.10,ZUNCHOS,ZUN,1,40,3,ZUN0140003,ZUNCHO 20 X 25 X 9 mm (Paquete de 20 und),5,Paq ,14,,5,0,0,0,11.200000000000001,1120,,
17,,,,,,PERFILES ANGULOS,,,,*,,,,LINEA,0,0,0,,
17.1,ANGULOS,PER,1,11,1,PER0111001,"ANGULO 20 X 3mm X 6,00 mts ",264,Und,9.54,8.48,99,0,165,0,7.632,16.8,,
17.2,,,,,,PER0111008,"ANGULO 25 X 3mm X 6,00 mts ",,Und,10.25,,56.67,100,43.33,9.7108433734939776,8.2000000000000011,0,,
17.3,,,,,,PER0111012,"ANGULO 30 X 2,5mm X 6,00 mts ",,Und,10.57,,10,270,260,0,8.4560000000000013,0,,
17.4,,,,,,PER0111009,"ANGULO 40 X 3mm X 6,00 mts *",,Und,16.91,,21,100,79,15.963855421686748,13.528,0,,
17.5,ANGULOS,PER,1,11,2,PER0111002,"ANGULO 40 X 4mm X 6,00 mts *",10,Und,22.26,,4,100,106,0,17.808000000000003,0,,
17.6,ANGULOS,PER,1,11,3,PER0111003,"ANGULO 50 X 4mm X 6,00 mts *",11,Und,21.2,,38,31,4,0,16.96,0,,
17.7,ANGULOS,PER,1,11,4,PER0111004,"ANGULO 50 X 5mm X 6,00 mts*",20,Und,35.99,,22,2,0,0,28.792,0,,
17.8,ANGULOS,PER,1,11,5,PER0111005,"ANGULO 65 X 5mm X 6,00 mts",0,Und,45,,0,0,0,0,36,0,,
17.9,,,,,,PER0111011,"ANGULO 75 X 7mm X 12,00 mts",,Und,112.59,,35,140,105,0,90.072,0,,
17.10,,,,,,PER0111010,"ANGULO 75 X 8mm X 6,00 mts",,Und,77.25,,0,1,1,0,61.800000000000004,0,,
17.11,ANGULOS,PER,1,11,6,PER0111006,"ANGULO 75 X 8mm X 12,00 mts",23,Und,136.74,,0,0,23,0,109.39200000000001,0,,
17.12,,,,,,PER0111007,"ANGULO 65 X 6mm X 6,00 mts",,Und,46,,22,22,0,0,36.800000000000004,0,,
18,,,,,,PERFILES PLETINA,,,,*,,,,0,0,0,5599.9999999999991,,
18.1,PLETINA ,PER,1,12,4,PER0112004,"PLETINA 1/2 X 6,00 mts",16,Und,4.13,,19,3,0,0,3.3040000000000003,18000,,
18.2,PLETINA ,PER,1,12,3,PER0112003,"PLETINA 1 X 1/8 X 6,00 mts",22,Und,7.43,,69,199,152,0,5.944,24800.000000000004,,
18.3,,,,,,PER0112006,"PLETINA 1 X 1/4 X 6,00 mts",,Und,10.49,,22,300,278,0,8.3920000000000012,108274.24,,
18.4,PLETINA ,PER,1,12,1,PER0112001,PLETINA 1 X 3/16 X 6 mts,78,Und,12.56,,178,100,0,0,10.048000000000002,223.99999999999997,,
18.5,PLETINA ,PER,1,12,2,PER0112002,"PLETINA 1 1/2  X 3/16 x 6,00 mts",15,Und,15.04,,2,0,13,0,12.032,576.00000000000011,,
18.6,,,,,,PER0112007,"PLETINA 1 1/2 X 1/8 X 6,00 mts",,Und,10.29,,0,180,180,0,8.232,467.2,,
18.7,,,,,,PER0112005,"PLETINA 2 X 1/8 X 6,00 mts",,Und,14.85,,2,100,98,14.012048192771086,11.88,721.68,,
19,,,,,,PERFILES OTROS,,,,*,,,,0,0,0,8383.2,,
19.1,PORTONES DECORATIVOS ,PER,1,1,1,PER0101001,"PORTONES DECORATIVOS 2,58 X 2,52 mts ",21,Und,291.5,,0,0,21,0,233.20000000000002,1000,,
19.2,PERFIL PARA MARCOS,PER,1,43,1,PER0143001,"PERFIL PARA MARCOS DE PUERTAS 10 X 5,80  mts ",772,Und,12.72,,166,0,606,0,10.176000000000002,-97.2,,
19.3,PERFIL VIGUETA TIPO C GALVANIZADO,PER,4,0-0,3,PER0400003,"PERFIL VIGUETA TIPO C GALV 80 X 40 X 2mm X 5,80 mts ",0,Und,25,,0,0,0,0,20,204.23999999999998,,
19.4,PERFIL VIGUETA TIPO C GALVANIZADO,PER,44,0-0,4,PER4400004,"PERFIL VIGUETA TIPO C GALV 120 X 60 X 2,2mm X 3,00 mts ",0,Und,15,,0,0,0,0,12,170.64000000000001,,
19.5,PERFIL VIGUETA TIPO C GALVANIZADO,PER,4,0-0,2,PER0400002,"PERFIL VIGUETA TIPO C GALV 140 X 60 X 2,2mm X 5,80 mts ",0,Und,45,,0,0,0,0,36,-31.248,,
20,,,,,,TUBOS ESTRUCTURALES CUADRADO,,,,*,,,,LINEA,0,0,256.368,,
20.1,TUBERIA PULIDA CUADRADA ,TUB,3,1,9,TUB0301009,"TUBO ESTRUC. CUAD. 40 X 40 X 2,50mm X 6,00 mts",100,Pza,27.15,,7,0,93,0,21.72,17.472,,
20.2,TUBERIA PULIDA CUADRADA ,TUB,3,1,10,TUB0301010,"TUBO ESTRUC. CUAD. 50 X 50 X 2,50mm X 6,00 mts ",30,Pza,32.86,,105,98,23,0,26.288,3844.8,,
20.3,TUBERIA PULIDA CUADRADA ,TUB,3,1,11,TUB0301011,"TUBO ESTRUC. CUAD. 60 X 60 X 2,5mm X 6,00 mts ",5,Pza,46.11,,14,26,17,44.909090909090907,36.888,5976,,
